shipment_id,product_id,supplier_id,origin_warehouse_id,destination_warehouse_id,transport_mode,quantity_units,shipment_value_usd,ship_date,planned_delivery_date,actual_delivery_date,planned_transit_days,actual_transit_days,delay_days,is_delayed,status,disruption_cause,freight_cost_usd,carrier_name
SHP-00025,PRD-0073,SUP-007,WH-003,WH-005,Air Freight,149,101156.1,2024-02-22,2024-02-25,2024-02-26,3,4.0,0,False,Delivered,,6349.26,Kuehne+Nagel
SHP-00026,PRD-0057,SUP-013,WH-004,WH-005,Multimodal,151,222658.56,2024-04-28,2024-05-12,2024-05-12,14,14.0,0,False,Delivered,,11635.59,DB Schenker
SHP-00027,PRD-0026,SUP-009,WH-003,WH-001,Multimodal,238,437820.04,2023-12-15,2024-01-10,2024-01-12,26,28.0,0,False,Delivered,,8170.99,UPS
SHP-00028,PRD-0054,SUP-011,WH-002,WH-004,Air Freight,220,413890.4,2023-12-07,2023-12-12,2023-12-12,5,5.0,0,False,Delivered,,845.98,Kuehne+Nagel
SHP-00029,PRD-0064,SUP-013,WH-002,WH-001,Air Freight,457,815260.58,2024-12-23,2024-12-28,2024-12-29,5,6.0,0,False,Delivered,,12706.58,MSC
SHP-00030,PRD-0031,SUP-015,WH-005,WH-004,Air Freight,213,32878.68,2024-06-22,2024-06-24,,2,,1,True,Delayed,,9817.58,UPS
SHP-00031,PRD-0004,SUP-010,WH-002,WH-004,Multimodal,392,780973.76,2024-11-21,2024-11-30,,9,,6,True,Lost,,1537.61,MSC
SHP-00032,PRD-0049,SUP-005,WH-005,WH-002,Ocean Freight,135,11627.55,2024-10-10,2024-10-30,,20,,4,True,Delayed,,8061.26,CMA CGM
SHP-00033,PRD-0011,SUP-003,WH-007,WH-001,Air Freight,245,324110.5,2023-06-24,2023-06-26,,2,,3,True,Delayed,Rotterdam Port Strike,3978.84,Maersk
SHP-00034,PRD-0009,SUP-001,WH-001,WH-006,Rail,227,52804.74,2024-04-21,2024-05-06,2024-05-07,15,16.0,0,False,Delivered,,10416.64,Kuehne+Nagel
SHP-00035,PRD-0053,SUP-011,WH-002,WH-006,Road,161,132454.7,2023-11-06,2023-11-08,,2,,0,False,Lost,,524.71,DB Schenker
SHP-00036,PRD-0037,SUP-014,WH-004,WH-001,Rail,190,21107.1,2023-10-09,2023-10-20,2023-10-20,11,11.0,0,False,Delivered,,3441.27,DHL
SHP-00037,PRD-0015,SUP-012,WH-006,WH-007,Ocean Freight,56,70889.84,2024-09-27,2024-10-27,,30,,16,True,Delayed,,13662.49,UPS
SHP-00038,PRD-0074,SUP-015,WH-006,WH-002,Multimodal,141,37221.18,2024-03-01,2024-03-20,2024-03-21,19,20.0,0,False,Delivered,,13727.92,Kuehne+Nagel
SHP-00039,PRD-0071,SUP-005,WH-007,WH-006,Air Freight,421,635465.82,2023-10-30,2023-11-01,,2,,0,False,Cancelled,,8448.23,MSC
SHP-00040,PRD-0022,SUP-014,WH-005,WH-001,Rail,129,61971.6,2024-02-09,2024-02-22,2024-02-23,13,14.0,0,False,Delivered,,7177.86,XPO Logistics
SHP-00041,PRD-0016,SUP-005,WH-007,WH-005,Rail,494,662587.38,2023-12-02,2023-12-14,2023-12-13,12,11.0,0,False,Delivered,,750.74,Kuehne+Nagel
SHP-00042,PRD-0056,SUP-006,WH-003,WH-006,Rail,382,357296.06,2023-04-29,2023-05-13,2023-05-15,14,16.0,0,False,Delivered,,2486.94,DB Schenker
SHP-00043,PRD-0036,SUP-004,WH-005,WH-002,Rail,447,616019.64,2024-11-01,2024-11-24,,23,,0,False,Cancelled,,5567.75,UPS
SHP-00044,PRD-0063,SUP-002,WH-007,WH-005,Ocean Freight,118,108366.48,2024-07-11,2024-08-16,2024-08-18,36,38.0,0,False,Delivered,,9697.23,Maersk
SHP-00045,PRD-0032,SUP-009,WH-002,WH-003,Ocean Freight,129,69369.75,2023-02-21,2023-03-28,,35,,71,True,Delayed,Chinese New Year Congestion,5062.68,CMA CGM
SHP-00046,PRD-0042,SUP-002,WH-001,WH-007,Rail,23,16417.86,2024-09-02,2024-09-16,2024-09-15,14,13.0,0,False,Delivered,Taiwan Strait Tension,2150.69,UPS
SHP-00047,PRD-0054,SUP-011,WH-006,WH-004,Air Freight,408,767578.56,2023-09-01,2023-09-03,2023-09-05,2,4.0,2,True,Delivered,Suez Canal Delay,5558.18,MSC
SHP-00048,PRD-0024,SUP-012,WH-006,WH-002,Road,255,507676.95,2024-04-07,2024-04-16,2024-04-15,9,8.0,0,False,Delivered,,12740.02,DB Schenker
SHP-00049,PRD-0018,SUP-006,WH-003,WH-004,Rail,329,280610.68,2024-12-03,2024-12-27,2024-12-26,24,23.0,0,False,Delivered,,9569.54,XPO Logistics
SHP-00050,PRD-0011,SUP-003,WH-003,WH-005,Multimodal,343,453754.7,2024-12-30,2025-01-23,2025-01-22,24,23.0,0,False,Delivered,,13190.05,XPO Logistics
SHP-00051,PRD-0049,SUP-005,WH-007,WH-006,Road,170,14642.1,2023-08-09,2023-08-16,2023-08-15,7,6.0,0,False,Delivered,,10043.6,UPS
SHP-00052,PRD-0039,SUP-001,WH-007,WH-002,Road,310,72115.3,2023-06-06,2023-06-08,2023-06-09,2,3.0,1,True,Delivered,,14358.04,XPO Logistics
SHP-00053,PRD-0031,SUP-015,WH-001,WH-007,Rail,269,41522.84,2023-12-04,2023-12-25,2023-12-26,21,22.0,0,False,Delivered,,3348.53,Kuehne+Nagel
SHP-00054,PRD-0020,SUP-008,WH-007,WH-004,Multimodal,328,94778.88,2023-08-18,2023-09-03,,16,,8,True,Delayed,,9280.88,XPO Logistics
SHP-00055,PRD-0027,SUP-002,WH-001,WH-002,Rail,455,543324.6,2023-01-27,2023-02-11,2023-02-12,15,16.0,0,False,Delivered,,2320.12,DB Schenker
SHP-00056,PRD-0005,SUP-011,WH-007,WH-003,Air Freight,199,352375.27,2023-03-13,2023-03-20,2023-03-22,7,9.0,0,False,Delivered,,4812.23,UPS
SHP-00057,PRD-0030,SUP-005,WH-004,WH-002,Ocean Freight,227,181057.47,2024-08-04,2024-08-23,2024-08-24,19,20.0,0,False,Delivered,,7387.79,Kuehne+Nagel
SHP-00058,PRD-0040,SUP-010,WH-003,WH-004,Ocean Freight,167,185289.84,2024-02-29,2024-03-31,2024-04-02,31,33.0,0,False,Delivered,,872.18,DB Schenker
SHP-00059,PRD-0014,SUP-002,WH-001,WH-006,Air Freight,13,8876.27,2024-09-05,2024-09-07,2024-09-08,2,3.0,0,False,Delivered,Taiwan Strait Tension,7561.3,DB Schenker
SHP-00060,PRD-0068,SUP-004,WH-007,WH-001,Rail,245,189198.8,2023-06-29,2023-07-16,2023-07-15,17,16.0,0,False,Delivered,Rotterdam Port Strike,13833.2,UPS
SHP-00061,PRD-0034,SUP-014,WH-006,WH-007,Ocean Freight,495,551261.7,2024-08-12,2024-09-22,2024-09-23,41,42.0,0,False,Delivered,,9348.25,UPS
SHP-00062,PRD-0026,SUP-009,WH-007,WH-005,Road,391,719275.78,2023-04-01,2023-04-08,2023-04-10,7,9.0,0,False,Delivered,,5224.8,UPS
SHP-00063,PRD-0008,SUP-013,WH-006,WH-004,Air Freight,427,141541.96,2023-06-22,2023-06-28,2023-07-04,6,12.0,6,True,Delivered,Rotterdam Port Strike,2385.81,MSC
SHP-00064,PRD-0007,SUP-002,WH-001,WH-005,Ocean Freight,298,519214.34,2023-05-30,2023-06-29,2023-07-01,30,32.0,0,False,Delivered,,11446.18,Kuehne+Nagel
SHP-00065,PRD-0065,SUP-003,WH-004,WH-001,Ocean Freight,312,464839.44,2024-11-28,2025-01-01,2025-01-02,34,35.0,0,False,Delivered,,1031.35,XPO Logistics
SHP-00066,PRD-0036,SUP-004,WH-007,WH-004,Rail,447,616019.64,2023-03-17,2023-04-10,2023-04-09,24,23.0,0,False,Delivered,,1536.39,XPO Logistics
SHP-00067,PRD-0001,SUP-012,WH-007,WH-005,Air Freight,62,69881.44,2024-01-29,2024-02-04,,6,,3,True,Delayed,,12202.31,UPS
SHP-00068,PRD-0045,SUP-002,WH-003,WH-006,Multimodal,479,369433.54,2023-03-28,2023-04-19,2023-04-19,22,22.0,0,False,Delivered,,4386.82,DB Schenker
SHP-00069,PRD-0050,SUP-009,WH-001,WH-004,Ocean Freight,380,91253.2,2023-12-13,2023-12-30,2024-01-01,17,19.0,0,False,Delivered,,12803.18,CMA CGM
SHP-00070,PRD-0046,SUP-008,WH-006,WH-001,Road,339,239272.98,2023-12-08,2023-12-14,,6,,4,True,Delayed,,11916.6,CMA CGM
SHP-00071,PRD-0005,SUP-011,WH-002,WH-006,Ocean Freight,258,456848.34,2024-11-17,2024-12-06,,19,,6,True,Delayed,,3041.68,CMA CGM
SHP-00072,PRD-0013,SUP-011,WH-003,WH-005,Multimodal,202,263258.52,2023-06-08,2023-07-03,2023-07-14,25,36.0,11,True,Delivered,,2482.94,CMA CGM
SHP-00073,PRD-0049,SUP-005,WH-006,WH-001,Rail,322,27733.86,2024-12-10,2025-01-03,,24,,0,False,Cancelled,,4416.93,Kuehne+Nagel
SHP-00074,PRD-0029,SUP-010,WH-006,WH-002,Multimodal,408,428538.72,2023-08-28,2023-09-16,2023-09-18,19,21.0,0,False,Delivered,,5851.71,XPO Logistics
SHP-00075,PRD-0048,SUP-011,WH-003,WH-004,Road,274,537722.26,2024-03-04,2024-03-09,2024-03-08,5,4.0,0,False,Delivered,,12797.26,FedEx
SHP-00076,PRD-0002,SUP-004,WH-006,WH-003,Road,462,921542.16,2023-03-27,2023-04-05,2023-04-05,9,9.0,0,False,Delivered,,5373.86,Maersk
SHP-00077,PRD-0033,SUP-008,WH-007,WH-005,Ocean Freight,60,100149.0,2024-02-29,2024-03-17,2024-03-16,17,16.0,0,False,Delivered,,12619.81,UPS
SHP-00078,PRD-0071,SUP-005,WH-006,WH-004,Air Freight,12,18113.04,2023-05-30,2023-06-01,2023-06-03,2,4.0,0,False,Delivered,,13606.69,Maersk
SHP-00079,PRD-0042,SUP-002,WH-006,WH-001,Air Freight,337,240557.34,2023-09-20,2023-09-23,2023-09-22,3,2.0,0,False,Delivered,Suez Canal Delay,11949.71,Kuehne+Nagel
SHP-00080,PRD-0016,SUP-005,WH-006,WH-003,Air Freight,324,434571.48,2023-03-06,2023-03-11,2023-03-12,5,6.0,0,False,Delivered,,5421.68,DB Schenker
SHP-00081,PRD-0008,SUP-013,WH-004,WH-005,Multimodal,250,82870.0,2023-07-11,2023-08-04,2023-08-03,24,23.0,0,False,Delivered,,844.31,DB Schenker
SHP-00082,PRD-0048,SUP-011,WH-005,WH-003,Rail,397,779108.53,2024-01-18,2024-01-28,,10,,27,True,Delayed,Red Sea Crisis,5121.28,Maersk
SHP-00083,PRD-0061,SUP-011,WH-001,WH-006,Road,407,560996.59,2023-12-27,2024-01-04,2024-01-04,8,8.0,0,False,Delivered,,14165.36,Maersk
SHP-00084,PRD-0054,SUP-011,WH-004,WH-006,Rail,395,743121.4,2023-10-28,2023-11-13,2023-11-15,16,18.0,0,False,Delivered,,9774.13,FedEx
SHP-00085,PRD-0043,SUP-015,WH-003,WH-005,Rail,468,225159.48,2024-01-01,2024-01-21,2024-01-23,20,22.0,0,False,Delivered,,14355.89,UPS
SHP-00086,PRD-0038,SUP-003,WH-003,WH-006,Rail,318,406359.48,2023-07-11,2023-08-05,2023-08-07,25,27.0,0,False,Delivered,,14927.45,CMA CGM
SHP-00087,PRD-0064,SUP-013,WH-003,WH-005,Rail,189,337164.66,2024-07-12,2024-07-25,,13,,8,True,Delayed,,6817.52,UPS
SHP-00088,PRD-0010,SUP-010,WH-001,WH-004,Road,83,157237.69,2024-09-21,2024-09-23,,2,,0,False,Cancelled,,12760.31,Kuehne+Nagel
SHP-00089,PRD-0022,SUP-014,WH-002,WH-004,Road,199,95599.6,2023-02-05,2023-02-11,,6,,1,True,Delayed,Chinese New Year Congestion,5705.8,MSC
SHP-00090,PRD-0037,SUP-014,WH-003,WH-001,Rail,208,23106.72,2024-08-10,2024-08-31,2024-09-06,21,27.0,6,True,Delivered,,13720.43,MSC
SHP-00091,PRD-0032,SUP-009,WH-006,WH-003,Rail,79,42482.25,2023-09-26,2023-10-20,2023-10-22,24,26.0,0,False,Delivered,,12821.83,Kuehne+Nagel
SHP-00092,PRD-0029,SUP-010,WH-005,WH-002,Ocean Freight,445,467401.3,2023-06-26,2023-08-07,2023-08-08,42,43.0,0,False,Delivered,Rotterdam Port Strike,2531.08,CMA CGM
SHP-00093,PRD-0046,SUP-008,WH-007,WH-005,Road,292,206099.44,2024-01-06,2024-01-09,,3,,1,True,Delayed,,2120.61,MSC
SHP-00094,PRD-0029,SUP-010,WH-006,WH-003,Road,172,180658.48,2023-03-09,2023-03-18,2023-03-17,9,8.0,0,False,Delivered,,9706.61,Kuehne+Nagel
SHP-00095,PRD-0019,SUP-002,WH-004,WH-007,Multimodal,275,35920.5,2024-04-22,2024-05-13,2024-05-12,21,20.0,0,False,Delivered,,2464.63,CMA CGM
SHP-00096,PRD-0038,SUP-003,WH-004,WH-002,Rail,74,94561.64,2023-06-15,2023-07-02,2023-07-16,17,31.0,14,True,Delivered,Rotterdam Port Strike,9450.33,XPO Logistics
SHP-00097,PRD-0007,SUP-002,WH-007,WH-001,Multimodal,298,519214.34,2023-04-06,2023-05-05,2023-05-06,29,30.0,0,False,Delivered,,809.68,Maersk
SHP-00098,PRD-0004,SUP-010,WH-002,WH-005,Road,331,659444.68,2023-03-25,2023-03-29,2023-03-28,4,3.0,0,False,Delivered,,8274.55,FedEx
SHP-00099,PRD-0058,SUP-006,WH-007,WH-001,Ocean Freight,257,50330.88,2024-05-09,2024-06-07,2024-06-07,29,29.0,0,False,Delivered,Hurricane Season,7073.74,UPS
SHP-00100,PRD-0004,SUP-010,WH-006,WH-007,Air Freight,248,494085.44,2024-09-13,2024-09-17,2024-09-16,4,3.0,0,False,Delivered,,2013.32,Kuehne+Nagel
SHP-00101,PRD-0052,SUP-011,WH-002,WH-005,Multimodal,488,899057.04,2023-09-11,2023-10-01,2023-11-12,20,62.0,42,True,Delivered,Suez Canal Delay,8749.77,UPS
SHP-00102,PRD-0051,SUP-001,WH-007,WH-004,Road,120,125356.8,2023-07-14,2023-07-22,,8,,7,True,Cancelled,,8833.49,Maersk
SHP-00103,PRD-0013,SUP-011,WH-001,WH-003,Ocean Freight,401,522607.26,2023-02-21,2023-03-25,2023-05-15,32,83.0,51,True,Delivered,Chinese New Year Congestion,6168.16,Maersk
SHP-00104,PRD-0047,SUP-007,WH-003,WH-006,Rail,153,101475.72,2024-02-15,2024-03-02,2024-03-04,16,18.0,0,False,Delivered,Red Sea Crisis,12414.61,MSC
SHP-00105,PRD-0071,SUP-005,WH-002,WH-006,Rail,215,324525.3,2023-05-12,2023-06-02,2023-06-02,21,21.0,0,False,Delivered,,7601.15,Maersk
SHP-00106,PRD-0023,SUP-003,WH-001,WH-006,Road,173,132199.68,2023-02-09,2023-02-17,,8,,25,True,Delayed,Chinese New Year Congestion,2605.03,FedEx
SHP-00107,PRD-0032,SUP-009,WH-007,WH-005,Road,308,165627.0,2024-08-30,2024-09-09,,10,,10,True,Cancelled,Taiwan Strait Tension,4753.63,Maersk
SHP-00108,PRD-0013,SUP-011,WH-002,WH-004,Road,85,110777.1,2024-09-03,2024-09-04,2024-09-05,1,2.0,1,True,Delivered,Taiwan Strait Tension,12360.59,DHL
SHP-00109,PRD-0048,SUP-011,WH-006,WH-007,Road,481,943957.69,2023-02-02,2023-02-10,,8,,6,True,Delayed,,7179.76,Maersk
SHP-00110,PRD-0012,SUP-007,WH-002,WH-006,Road,245,472624.6,2024-12-23,2025-01-01,,9,,0,False,Cancelled,,13699.44,UPS
SHP-00111,PRD-0009,SUP-001,WH-006,WH-004,Air Freight,125,29077.5,2024-07-13,2024-07-20,2024-07-21,7,8.0,0,False,Delivered,,14133.99,FedEx
SHP-00112,PRD-0025,SUP-001,WH-001,WH-004,Rail,303,352258.71,2023-10-23,2023-11-17,2023-11-18,25,26.0,0,False,Delivered,,10214.01,DB Schenker
SHP-00113,PRD-0025,SUP-001,WH-006,WH-005,Ocean Freight,113,131370.41,2024-02-09,2024-03-16,,36,,69,True,Delayed,Red Sea Crisis,12453.69,FedEx
SHP-00114,PRD-0056,SUP-006,WH-002,WH-006,Air Freight,36,33671.88,2024-07-29,2024-08-01,2024-08-01,3,3.0,0,False,Delivered,,1682.93,UPS
SHP-00115,PRD-0041,SUP-013,WH-007,WH-005,Air Freight,112,217803.04,2024-04-28,2024-05-05,2024-05-07,7,9.0,0,False,Delivered,,11387.48,FedEx
SHP-00116,PRD-0007,SUP-002,WH-001,WH-003,Multimodal,99,172490.67,2023-11-25,2023-12-23,2023-12-22,28,27.0,0,False,Delivered,,6384.7,CMA CGM
SHP-00117,PRD-0021,SUP-014,WH-006,WH-007,Ocean Freight,181,310119.97,2023-02-07,2023-03-18,2023-03-17,39,38.0,0,False,Delivered,,4411.51,XPO Logistics
SHP-00118,PRD-0031,SUP-015,WH-007,WH-002,Ocean Freight,17,2624.12,2024-06-20,2024-08-04,2024-09-08,45,80.0,35,True,Delivered,,11101.94,FedEx
SHP-00119,PRD-0018,SUP-006,WH-006,WH-004,Rail,175,149261.0,2024-08-04,2024-08-26,,22,,16,True,Delayed,,14050.22,Maersk
SHP-00120,PRD-0071,SUP-005,WH-001,WH-002,Rail,194,292827.48,2023-09-25,2023-10-19,2023-10-18,24,23.0,0,False,Delivered,,10452.98,Maersk
SHP-00121,PRD-0012,SUP-007,WH-006,WH-002,Multimodal,337,650099.96,2024-11-14,2024-12-04,2024-12-05,20,21.0,0,False,Delivered,,13758.73,FedEx
SHP-00122,PRD-0023,SUP-003,WH-001,WH-004,Road,291,222370.56,2024-01-12,2024-01-20,2024-01-21,8,9.0,0,False,Delivered,,13709.39,XPO Logistics
SHP-00123,PRD-0075,SUP-001,WH-005,WH-006,Multimodal,67,11863.02,2024-11-11,2024-12-03,2024-12-02,22,21.0,0,False,Delivered,,1114.02,XPO Logistics
SHP-00124,PRD-0040,SUP-010,WH-004,WH-006,Multimodal,260,288475.2,2024-06-01,2024-06-19,2024-06-19,18,18.0,0,False,Delivered,,1545.94,XPO Logistics
SHP-00125,PRD-0014,SUP-002,WH-002,WH-007,Road,167,114025.93,2024-04-01,2024-04-10,2024-04-12,9,11.0,0,False,Delivered,,10904.55,DB Schenker
SHP-00126,PRD-0009,SUP-001,WH-006,WH-003,Ocean Freight,467,108633.54,2023-09-18,2023-10-02,,14,,22,True,Delayed,Suez Canal Delay,1221.48,Kuehne+Nagel
SHP-00127,PRD-0064,SUP-013,WH-002,WH-004,Road,203,362139.82,2023-02-02,2023-02-05,,3,,9,True,Delayed,Chinese New Year Congestion,5759.55,XPO Logistics
SHP-00128,PRD-0025,SUP-001,WH-002,WH-007,Multimodal,162,188336.34,2023-05-17,2023-06-06,2023-06-25,20,39.0,19,True,Delivered,,7052.46,XPO Logistics
SHP-00129,PRD-0019,SUP-002,WH-002,WH-001,Air Freight,348,45455.76,2024-03-10,2024-03-13,2024-03-12,3,2.0,0,False,Delivered,,6404.76,Maersk
SHP-00130,PRD-0061,SUP-011,WH-001,WH-004,Road,215,296349.55,2023-09-04,2023-09-14,,10,,16,True,Delayed,Suez Canal Delay,6696.65,XPO Logistics
SHP-00131,PRD-0056,SUP-006,WH-005,WH-003,Rail,458,428381.14,2023-08-11,2023-08-30,2023-08-31,19,20.0,0,False,Delivered,,2320.25,XPO Logistics
SHP-00132,PRD-0029,SUP-010,WH-004,WH-003,Multimodal,228,239477.52,2023-08-15,2023-09-09,2023-09-09,25,25.0,0,False,Delivered,,8426.59,Maersk
SHP-00133,PRD-0055,SUP-009,WH-006,WH-002,Air Freight,125,208638.75,2023-12-19,2023-12-25,,6,,2,True,Delayed,,4650.9,CMA CGM
SHP-00134,PRD-0064,SUP-013,WH-005,WH-004,Multimodal,482,859859.08,2024-04-19,2024-05-14,,25,,9,True,Delayed,,6856.85,UPS
SHP-00135,PRD-0063,SUP-002,WH-004,WH-007,Multimodal,399,366425.64,2023-04-05,2023-05-04,2023-05-03,29,28.0,0,False,Delivered,,8896.24,XPO Logistics
SHP-00136,PRD-0054,SUP-011,WH-007,WH-005,Air Freight,396,745002.72,2023-08-11,2023-08-14,2023-08-13,3,2.0,0,False,Delivered,,7288.03,DHL
SHP-00137,PRD-0001,SUP-012,WH-006,WH-005,Rail,194,218661.28,2024-12-13,2024-12-30,2024-12-31,17,18.0,0,False,Delivered,,7789.68,Kuehne+Nagel
SHP-00138,PRD-0050,SUP-009,WH-001,WH-004,Rail,18,4322.52,2024-04-22,2024-05-17,2024-05-22,25,30.0,5,True,Delivered,,4059.46,DB Schenker
SHP-00139,PRD-0040,SUP-010,WH-003,WH-002,Multimodal,493,546993.36,2023-10-30,2023-11-19,2023-11-21,20,22.0,0,False,Delivered,,10335.73,FedEx
SHP-00140,PRD-0021,SUP-014,WH-006,WH-004,Air Freight,465,796717.05,2024-05-15,2024-05-20,2024-05-22,5,7.0,0,False,Delivered,,8223.63,Maersk
SHP-00141,PRD-0050,SUP-009,WH-002,WH-007,Air Freight,87,20892.18,2024-06-20,2024-06-22,2024-06-22,2,2.0,0,False,Delivered,,335.29,XPO Logistics
SHP-00142,PRD-0019,SUP-002,WH-007,WH-006,Ocean Freight,281,36704.22,2024-04-11,2024-05-18,2024-05-20,37,39.0,0,False,Delivered,,10888.45,XPO Logistics
SHP-00143,PRD-0060,SUP-015,WH-006,WH-004,Ocean Freight,279,352441.17,2023-10-21,2023-11-05,2023-11-05,15,15.0,0,False,Delivered,,3935.79,UPS
SHP-00144,PRD-0022,SUP-014,WH-004,WH-003,Multimodal,51,24500.4,2023-10-01,2023-10-23,,22,,16,True,Delayed,,9875.29,Maersk
SHP-00145,PRD-0059,SUP-004,WH-002,WH-007,Ocean Freight,442,134027.66,2023-04-06,2023-05-15,2023-05-15,39,39.0,0,False,Delivered,,6621.86,UPS
SHP-00146,PRD-0009,SUP-001,WH-007,WH-006,Multimodal,360,83743.2,2024-08-02,2024-08-16,2024-08-15,14,13.0,0,False,Delivered,,13898.66,XPO Logistics
SHP-00147,PRD-0032,SUP-009,WH-004,WH-007,Multimodal,163,87653.25,2024-07-31,2024-08-14,2024-08-25,14,25.0,11,True,Delivered,,2604.26,DHL
SHP-00148,PRD-0021,SUP-014,WH-001,WH-005,Ocean Freight,233,399215.21,2024-08-03,2024-09-10,2024-09-11,38,39.0,0,False,Delivered,,3635.73,MSC
SHP-00149,PRD-0048,SUP-011,WH-006,WH-002,Road,309,606409.41,2023-12-15,2023-12-20,,5,,3,True,Delayed,,9977.94,MSC
SHP-00150,PRD-0052,SUP-011,WH-003,WH-005,Air Freight,172,316880.76,2024-09-25,2024-09-28,2024-09-28,3,3.0,0,False,Delivered,,5538.36,MSC
SHP-00151,PRD-0058,SUP-006,WH-007,WH-004,Air Freight,62,12142.08,2023-01-06,2023-01-11,,5,,2,True,Delayed,,588.68,UPS
SHP-00152,PRD-0029,SUP-010,WH-006,WH-001,Rail,296,310900.64,2024-07-21,2024-08-10,2024-08-09,20,19.0,0,False,Delivered,,13597.07,DHL
SHP-00153,PRD-0037,SUP-014,WH-001,WH-007,Rail,95,10553.55,2024-08-08,2024-08-30,2024-09-01,22,24.0,0,False,Delivered,,6633.21,DB Schenker
